country,year,age,sex,education,occupation,internet_use,cult_ballet,cult_cinema,cult_theatre,cult_concert,cult_library,cult_monuments,cult_museum,cult_ballet_bin,cult_cinema_bin,cult_theatre_bin,cult_concert_bin,cult_library_bin,cult_monuments_bin,cult_museum_bin,part_index,part_any,internet_use_rev,education_cat,female,year_2013,gdp_pc,culture_exp
AT,2007,28,1,98,2,1,2,4,2,2,2,3,3,1,1,1,1,1,1,1,7,1,6,high,0,0,30945.9,1.5
AT,2007,26,1,15,17,6,1,1,2,1,1,1,1,0,0,1,0,0,0,0,1,1,1,low,0,0,30945.9,1.5
AT,2007,26,2,15,18,4,1,3,1,1,1,1,2,0,1,0,0,0,0,1,2,1,3,low,1,0,30945.9,1.5
AT,2007,27,1,15,15,6,1,2,1,1,1,2,1,0,1,0,0,0,1,0,2,1,1,low,0,0,30945.9,1.5
AT,2007,23,2,98,2,1,1,4,1,1,2,2,2,0,1,0,0,1,1,1,4,1,6,high,1,0,30945.9,1.5
AT,2007,20,2,98,2,1,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,1,6,high,1,0,30945.9,1.5
AT,2007,18,1,98,2,1,1,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,high,0,0,30945.9,1.5
AT,2007,28,1,26,12,1,1,3,1,2,1,1,1,0,1,0,1,0,0,0,2,1,6,high,0,0,30945.9,1.5
AT,2007,24,2,98,2,1,1,4,2,3,1,1,1,0,1,1,1,0,0,0,3,1,6,high,1,0,30945.9,1.5
AT,2007,19,1,98,2,1,2,4,1,1,2,1,2,1,1,0,0,1,0,1,4,1,6,high,0,0,30945.9,1.5
AT,2007,27,2,25,12,2,1,3,2,1,2,2,2,0,1,1,0,1,1,1,5,1,5,high,1,0,30945.9,1.5
AT,2007,29,2,18,12,2,2,4,1,2,2,2,2,1,1,0,1,1,1,1,6,1,5,medium,1,0,30945.9,1.5
AT,2007,26,2,17,15,5,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,2,medium,1,0,30945.9,1.5
AT,2007,24,1,98,2,2,1,2,2,1,1,2,2,0,1,1,0,0,1,1,4,1,5,high,0,0,30945.9,1.5
AT,2007,18,2,98,2,4,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,3,high,1,0,30945.9,1.5
AT,2007,22,2,98,2,2,1,3,2,2,2,2,2,0,1,1,1,1,1,1,6,1,5,high,1,0,30945.9,1.5
AT,2007,23,2,18,13,5,1,2,1,2,1,2,2,0,1,0,1,0,1,1,4,1,2,medium,1,0,30945.9,1.5
AT,2007,18,1,98,2,4,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,3,high,0,0,30945.9,1.5
AT,2007,17,2,15,3,1,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,low,1,0,30945.9,1.5
AT,2007,21,2,19,12,4,1,4,1,4,1,1,1,0,1,0,1,0,0,0,2,1,3,medium,1,0,30945.9,1.5
AT,2007,15,1,98,2,2,3,4,3,3,3,4,4,1,1,1,1,1,1,1,7,1,5,high,0,0,30945.9,1.5
AT,2007,21,2,98,2,2,2,4,2,3,4,1,2,1,1,1,1,1,0,1,6,1,5,high,1,0,30945.9,1.5
AT,2007,16,2,98,2,2,1,4,2,3,4,1,2,0,1,1,1,1,0,1,5,1,5,high,1,0,30945.9,1.5
AT,2007,19,2,16,18,2,1,4,1,3,1,1,1,0,1,0,1,0,0,0,2,1,5,medium,1,0,30945.9,1.5
AT,2007,22,2,15,15,2,1,4,1,3,1,2,1,0,1,0,1,0,1,0,3,1,5,low,1,0,30945.9,1.5
AT,2007,23,2,16,15,2,1,4,1,2,1,1,1,0,1,0,1,0,0,0,2,1,5,medium,1,0,30945.9,1.5
PT,2007,18,1,98,2,1,1,4,2,2,2,1,1,0,1,1,1,1,0,0,4,1,6,high,0,0,20321.8,1.1
PT,2007,27,2,NA,7,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,NA,1,0,20321.8,1.1
PT,2007,29,2,24,12,1,2,1,1,2,4,2,4,1,0,0,1,1,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,29,2,22,12,1,1,3,1,2,3,4,4,0,1,0,1,1,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,16,1,98,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,high,0,0,20321.8,1.1
PT,2007,18,2,98,2,2,1,3,1,1,4,1,1,0,1,0,0,1,0,0,2,1,5,high,1,0,20321.8,1.1
PT,2007,29,2,14,18,6,1,1,1,2,1,2,2,0,0,0,1,0,1,1,3,1,1,low,1,0,20321.8,1.1
PT,2007,24,2,16,17,6,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,1,medium,1,0,20321.8,1.1
PT,2007,19,2,98,2,1,1,2,2,1,4,2,2,0,1,1,0,1,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,20,1,16,17,1,1,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,medium,0,0,20321.8,1.1
PT,2007,29,2,98,2,1,1,1,2,2,2,1,1,0,0,1,1,1,0,0,3,1,6,high,1,0,20321.8,1.1
PT,2007,21,2,98,2,1,1,3,3,3,NA,4,4,0,1,1,1,NA,1,1,NA,NA,6,high,1,0,20321.8,1.1
PT,2007,22,2,22,10,1,1,3,1,1,3,1,3,0,1,0,0,1,0,1,3,1,6,high,1,0,20321.8,1.1
PT,2007,25,1,16,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,medium,0,0,20321.8,1.1
PT,2007,27,2,24,12,2,1,3,1,1,2,2,1,0,1,0,0,1,1,0,3,1,5,high,1,0,20321.8,1.1
PT,2007,17,1,98,2,2,1,2,2,1,4,4,4,0,1,1,0,1,1,1,5,1,5,high,0,0,20321.8,1.1
PT,2007,25,1,20,15,1,1,4,2,1,4,4,4,0,1,1,0,1,1,1,5,1,6,high,0,0,20321.8,1.1
PT,2007,26,2,12,17,6,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,1,low,1,0,20321.8,1.1
PT,2007,25,2,15,17,6,4,1,1,3,1,3,2,1,0,0,1,0,1,1,4,1,1,low,1,0,20321.8,1.1
PT,2007,28,2,12,17,6,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,1,low,1,0,20321.8,1.1
PT,2007,27,2,14,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,16,1,98,2,2,1,2,1,2,2,2,2,0,1,0,1,1,1,1,5,1,5,high,0,0,20321.8,1.1
PT,2007,25,2,19,4,5,1,2,1,2,2,1,1,0,1,0,1,1,0,0,3,1,2,medium,1,0,20321.8,1.1
PT,2007,27,2,12,17,6,1,3,1,3,1,1,1,0,1,0,1,0,0,0,2,1,1,low,1,0,20321.8,1.1
PT,2007,24,1,16,17,5,1,4,1,1,3,3,3,0,1,0,0,1,1,1,4,1,2,medium,0,0,20321.8,1.1
PT,2007,16,2,98,2,2,1,2,2,1,3,2,1,0,1,1,0,1,1,0,4,1,5,high,1,0,20321.8,1.1
PT,2007,23,1,16,17,1,1,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1,6,medium,0,0,20321.8,1.1
PT,2007,20,2,98,2,2,1,4,1,3,4,3,2,0,1,0,1,1,1,1,5,1,5,high,1,0,20321.8,1.1
PT,2007,23,2,15,13,1,1,4,1,1,1,4,1,0,1,0,0,0,1,0,2,1,6,low,1,0,20321.8,1.1
PT,2007,16,1,98,2,1,1,2,1,1,3,3,3,0,1,0,0,1,1,1,4,1,6,high,0,0,20321.8,1.1
PT,2007,27,1,18,17,6,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,1,1,medium,0,0,20321.8,1.1
PT,2007,27,1,12,17,1,1,2,1,2,1,1,1,0,1,0,1,0,0,0,2,1,6,low,0,0,20321.8,1.1
PT,2007,16,1,98,2,6,1,3,2,1,2,2,2,0,1,1,0,1,1,1,5,1,1,high,0,0,20321.8,1.1
PT,2007,16,1,98,2,1,2,4,2,3,3,1,1,1,1,1,1,1,0,0,5,1,6,high,0,0,20321.8,1.1
PT,2007,23,1,17,17,1,1,3,2,2,2,1,1,0,1,1,1,1,0,0,4,1,6,medium,0,0,20321.8,1.1
PT,2007,23,1,16,17,1,1,3,2,3,1,1,1,0,1,1,1,0,0,0,3,1,6,medium,0,0,20321.8,1.1
PT,2007,16,1,98,2,4,1,3,2,4,3,2,2,0,1,1,1,1,1,1,6,1,3,high,0,0,20321.8,1.1
PT,2007,17,1,98,2,1,1,1,2,2,2,2,2,0,0,1,1,1,1,1,5,1,6,high,0,0,20321.8,1.1
PT,2007,18,2,15,17,6,1,3,2,2,1,1,1,0,1,1,1,0,0,0,3,1,1,low,1,0,20321.8,1.1
PT,2007,17,2,98,2,2,1,3,1,2,2,1,1,0,1,0,1,1,0,0,3,1,5,high,1,0,20321.8,1.1
PT,2007,21,2,9,13,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,6,low,1,0,20321.8,1.1
PT,2007,16,1,98,2,1,2,4,2,1,1,4,2,1,1,1,0,0,1,1,5,1,6,high,0,0,20321.8,1.1
PT,2007,29,2,23,12,1,1,4,2,1,1,2,2,0,1,1,0,0,1,1,4,1,6,high,1,0,20321.8,1.1
PT,2007,22,2,16,17,3,1,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,4,medium,1,0,20321.8,1.1
PT,2007,16,1,98,2,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,high,0,0,20321.8,1.1
PT,2007,19,2,98,2,6,1,2,1,1,2,1,2,0,1,0,0,1,0,1,3,1,1,high,1,0,20321.8,1.1
PT,2007,22,2,98,2,6,2,3,1,2,2,2,1,1,1,0,1,1,1,0,5,1,1,high,1,0,20321.8,1.1
PT,2007,15,1,98,2,6,1,2,1,2,1,2,1,0,1,0,1,0,1,0,3,1,1,high,0,0,20321.8,1.1
PT,2007,24,2,18,8,3,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,4,medium,1,0,20321.8,1.1
PT,2007,26,1,16,17,1,2,2,1,2,1,1,1,1,1,0,1,0,0,0,3,1,6,medium,0,0,20321.8,1.1
PT,2007,15,2,98,2,2,1,3,1,2,3,2,2,0,1,0,1,1,1,1,5,1,5,high,1,0,20321.8,1.1
PT,2007,16,1,98,2,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,high,0,0,20321.8,1.1
PT,2007,18,2,98,2,6,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,1,1,high,1,0,20321.8,1.1
PT,2007,28,2,18,13,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,6,medium,1,0,20321.8,1.1
PT,2007,27,1,98,2,6,2,2,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,high,0,0,20321.8,1.1
PT,2007,22,2,98,2,6,1,3,1,2,4,3,2,0,1,0,1,1,1,1,5,1,1,high,1,0,20321.8,1.1
PT,2007,18,2,98,2,1,1,3,1,1,3,1,1,0,1,0,0,1,0,0,2,1,6,high,1,0,20321.8,1.1
PT,2007,17,2,14,14,6,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,low,1,0,20321.8,1.1
PT,2007,24,2,22,3,1,1,4,4,1,4,4,1,0,1,1,0,1,1,0,4,1,6,high,1,0,20321.8,1.1
PT,2007,21,1,17,18,1,1,4,1,1,1,3,1,0,1,0,0,0,1,0,2,1,6,medium,0,0,20321.8,1.1
PT,2007,22,1,22,17,6,2,4,2,1,4,1,1,1,1,1,0,1,0,0,4,1,1,high,0,0,20321.8,1.1
PT,2007,21,1,98,2,2,1,4,4,4,4,4,4,0,1,1,1,1,1,1,6,1,5,high,0,0,20321.8,1.1
PT,2007,18,2,98,2,4,1,3,1,3,2,2,2,0,1,0,1,1,1,1,5,1,3,high,1,0,20321.8,1.1
PT,2007,18,2,98,2,2,2,4,2,3,2,1,2,1,1,1,1,1,0,1,6,1,5,high,1,0,20321.8,1.1
PT,2007,16,2,98,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,0,6,1,5,high,1,0,20321.8,1.1
PT,2007,17,2,98,2,1,1,4,1,3,3,3,3,0,1,0,1,1,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,15,1,14,3,2,2,4,2,3,4,4,1,1,1,1,1,1,1,0,6,1,5,low,0,0,20321.8,1.1
PT,2007,27,1,20,17,1,4,4,2,1,2,4,4,1,1,1,0,1,1,1,6,1,6,high,0,0,20321.8,1.1
PT,2007,19,2,98,2,1,3,4,2,2,4,3,3,1,1,1,1,1,1,1,7,1,6,high,1,0,20321.8,1.1
PT,2007,16,1,98,2,1,1,4,1,2,4,2,2,0,1,0,1,1,1,1,5,1,6,high,0,0,20321.8,1.1
PT,2007,22,1,17,17,6,1,2,1,1,1,2,1,0,1,0,0,0,1,0,2,1,1,medium,0,0,20321.8,1.1
PT,2007,16,1,15,18,2,1,3,1,1,3,1,1,0,1,0,0,1,0,0,2,1,5,low,0,0,20321.8,1.1
PT,2007,15,1,98,2,2,1,1,2,1,1,1,1,0,0,1,0,0,0,0,1,1,5,high,0,0,20321.8,1.1
PT,2007,18,2,98,2,1,4,4,2,2,2,4,4,1,1,1,1,1,1,1,7,1,6,high,1,0,20321.8,1.1
PT,2007,24,1,18,13,3,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,4,medium,0,0,20321.8,1.1
PT,2007,19,2,13,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,21,2,17,14,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,medium,1,0,20321.8,1.1
PT,2007,19,1,13,3,6,1,2,1,2,1,1,1,0,1,0,1,0,0,0,2,1,1,low,0,0,20321.8,1.1
PT,2007,18,1,98,2,1,1,3,1,4,1,3,3,0,1,0,1,0,1,1,4,1,6,high,0,0,20321.8,1.1
PT,2007,23,2,98,2,1,1,1,1,1,NA,2,1,0,0,0,0,NA,1,0,NA,NA,6,high,1,0,20321.8,1.1
PT,2007,17,1,98,2,2,1,4,1,4,2,1,1,0,1,0,1,1,0,0,3,1,5,high,0,0,20321.8,1.1
PT,2007,25,1,18,14,6,1,1,1,1,3,2,2,0,0,0,0,1,1,1,3,1,1,medium,0,0,20321.8,1.1
PT,2007,23,1,18,18,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,medium,0,0,20321.8,1.1
PT,2007,22,2,13,3,6,1,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,low,1,0,20321.8,1.1
PT,2007,22,2,20,3,2,1,4,1,1,1,1,1,0,1,0,0,0,0,0,1,1,5,high,1,0,20321.8,1.1
PT,2007,24,1,10,17,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,low,0,0,20321.8,1.1
PT,2007,25,2,18,14,5,1,3,1,2,3,2,2,0,1,0,1,1,1,1,5,1,2,medium,1,0,20321.8,1.1
PT,2007,29,2,17,3,6,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,medium,1,0,20321.8,1.1
PT,2007,26,2,16,3,2,1,3,1,2,1,1,1,0,1,0,1,0,0,0,2,1,5,medium,1,0,20321.8,1.1
PT,2007,15,2,98,2,1,1,3,1,3,2,2,2,0,1,0,1,1,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,21,2,16,17,2,2,4,1,4,4,4,4,1,1,0,1,1,1,1,6,1,5,medium,1,0,20321.8,1.1
PT,2007,17,2,98,2,2,1,2,1,1,2,2,2,0,1,0,0,1,1,1,4,1,5,high,1,0,20321.8,1.1
PT,2007,24,2,11,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,17,1,98,2,2,1,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1,5,high,0,0,20321.8,1.1
PT,2007,15,1,98,2,6,1,3,2,1,4,1,1,0,1,1,0,1,0,0,3,1,1,high,0,0,20321.8,1.1
PT,2007,18,1,16,17,3,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,4,medium,0,0,20321.8,1.1
PT,2007,21,1,14,18,3,1,2,1,1,2,1,1,0,1,0,0,1,0,0,2,1,4,low,0,0,20321.8,1.1
PT,2007,15,1,98,2,6,1,2,2,1,2,2,2,0,1,1,0,1,1,1,5,1,1,high,0,0,20321.8,1.1
PT,2007,18,1,17,17,3,1,4,4,2,4,1,1,0,1,1,1,1,0,0,4,1,4,medium,0,0,20321.8,1.1
PT,2007,17,2,98,2,4,1,3,1,1,3,1,1,0,1,0,0,1,0,0,2,1,3,high,1,0,20321.8,1.1
PT,2007,25,1,98,2,1,1,4,1,3,3,3,3,0,1,0,1,1,1,1,5,1,6,high,0,0,20321.8,1.1
PT,2007,19,1,16,18,6,1,2,1,1,1,1,2,0,1,0,0,0,0,1,2,1,1,medium,0,0,20321.8,1.1
PT,2007,28,2,11,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,28,2,19,1,4,1,2,1,1,1,2,1,0,1,0,0,0,1,0,2,1,3,medium,1,0,20321.8,1.1
PT,2007,17,1,15,17,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,low,0,0,20321.8,1.1
PT,2007,25,2,15,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,24,1,20,17,2,1,3,2,2,4,4,1,0,1,1,1,1,1,0,5,1,5,high,0,0,20321.8,1.1
PT,2007,22,2,20,17,4,1,3,1,2,2,3,1,0,1,0,1,1,1,0,4,1,3,high,1,0,20321.8,1.1
PT,2007,23,2,18,17,6,1,NA,1,2,1,1,1,0,NA,0,1,0,0,0,NA,NA,1,medium,1,0,20321.8,1.1
PT,2007,24,2,18,17,3,1,3,1,3,2,1,1,0,1,0,1,1,0,0,3,1,4,medium,1,0,20321.8,1.1
PT,2007,16,1,98,2,1,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,1,6,high,0,0,20321.8,1.1
PT,2007,26,2,18,15,2,1,3,1,1,2,1,1,0,1,0,0,1,0,0,2,1,5,medium,1,0,20321.8,1.1
PT,2007,23,1,22,18,1,NA,4,1,4,2,2,1,NA,1,0,1,1,1,0,NA,NA,6,high,0,0,20321.8,1.1
PT,2007,21,2,98,2,1,1,4,3,2,3,1,2,0,1,1,1,1,0,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,19,2,98,2,3,1,2,1,2,3,2,2,0,1,0,1,1,1,1,5,1,4,high,1,0,20321.8,1.1
PT,2007,27,2,25,13,1,1,3,4,1,1,1,1,0,1,1,0,0,0,0,2,1,6,high,1,0,20321.8,1.1
PT,2007,24,1,22,17,3,1,1,2,1,1,1,1,0,0,1,0,0,0,0,1,1,4,high,0,0,20321.8,1.1
PT,2007,19,1,18,17,1,2,4,1,4,2,1,2,1,1,0,1,1,0,1,5,1,6,medium,0,0,20321.8,1.1
PT,2007,28,2,23,12,1,1,3,1,1,1,3,1,0,1,0,0,0,1,0,2,1,6,high,1,0,20321.8,1.1
PT,2007,19,1,98,2,1,1,1,1,4,1,1,1,0,0,0,1,0,0,0,1,1,6,high,0,0,20321.8,1.1
PT,2007,20,1,98,2,2,3,1,2,2,3,2,2,1,0,1,1,1,1,1,6,1,5,high,0,0,20321.8,1.1
PT,2007,24,2,19,13,2,1,3,2,2,1,2,1,0,1,1,1,0,1,0,4,1,5,medium,1,0,20321.8,1.1
PT,2007,19,1,98,2,1,1,3,2,3,2,2,1,0,1,1,1,1,1,0,5,1,6,high,0,0,20321.8,1.1
PT,2007,21,2,98,2,3,1,4,2,3,4,1,1,0,1,1,1,1,0,0,4,1,4,high,1,0,20321.8,1.1
PT,2007,19,1,15,18,6,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,1,1,low,0,0,20321.8,1.1
PT,2007,21,1,16,18,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,medium,0,0,20321.8,1.1
PT,2007,19,1,98,2,1,1,2,1,4,1,1,1,0,1,0,1,0,0,0,2,1,6,high,0,0,20321.8,1.1
PT,2007,21,1,98,2,1,1,4,3,3,1,1,2,0,1,1,1,0,0,1,4,1,6,high,0,0,20321.8,1.1
PT,2007,23,2,98,2,1,1,1,2,3,4,4,1,0,0,1,1,1,1,0,4,1,6,high,1,0,20321.8,1.1
PT,2007,22,2,20,17,2,1,3,1,1,1,3,1,0,1,0,0,0,1,0,2,1,5,high,1,0,20321.8,1.1
PT,2007,25,2,98,2,6,1,4,1,1,4,1,1,0,1,0,0,1,0,0,2,1,1,high,1,0,20321.8,1.1
PT,2007,27,2,19,8,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,medium,1,0,20321.8,1.1
PT,2007,26,2,16,18,2,1,2,2,2,3,3,1,0,1,1,1,1,1,0,5,1,5,medium,1,0,20321.8,1.1
PT,2007,16,1,98,2,6,1,4,3,2,4,2,1,0,1,1,1,1,1,0,5,1,1,high,0,0,20321.8,1.1
PT,2007,18,2,16,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,medium,1,0,20321.8,1.1
PT,2007,15,2,98,2,1,2,1,2,2,4,3,3,1,0,1,1,1,1,1,6,1,6,high,1,0,20321.8,1.1
PT,2007,15,1,98,2,6,1,2,1,3,1,1,3,0,1,0,1,0,0,1,3,1,1,high,0,0,20321.8,1.1
PT,2007,15,2,98,2,6,2,4,3,2,3,2,2,1,1,1,1,1,1,1,7,1,1,high,1,0,20321.8,1.1
PT,2007,15,1,98,2,2,1,1,1,2,1,1,1,0,0,0,1,0,0,0,1,1,5,high,0,0,20321.8,1.1
PT,2007,15,2,98,2,2,1,2,1,1,3,1,1,0,1,0,0,1,0,0,2,1,5,high,1,0,20321.8,1.1
PT,2007,18,1,98,2,1,1,1,1,2,2,1,1,0,0,0,1,1,0,0,2,1,6,high,0,0,20321.8,1.1
PT,2007,17,2,98,2,1,3,2,1,4,2,2,1,1,1,0,1,1,1,0,5,1,6,high,1,0,20321.8,1.1
PT,2007,27,2,18,17,6,1,3,2,1,1,1,1,0,1,1,0,0,0,0,2,1,1,medium,1,0,20321.8,1.1
PT,2007,23,1,98,2,2,2,3,1,1,3,1,1,1,1,0,0,1,0,0,3,1,5,high,0,0,20321.8,1.1
PT,2007,23,2,98,2,2,2,4,2,1,4,4,4,1,1,1,0,1,1,1,6,1,5,high,1,0,20321.8,1.1
PT,2007,29,2,25,12,1,1,NA,4,1,2,2,2,0,NA,1,0,1,1,1,NA,NA,6,high,1,0,20321.8,1.1
PT,2007,20,1,20,3,2,2,2,2,1,3,1,1,1,1,1,0,1,0,0,4,1,5,high,0,0,20321.8,1.1
PT,2007,25,1,24,12,1,1,4,1,2,3,4,4,0,1,0,1,1,1,1,5,1,6,high,0,0,20321.8,1.1
PT,2007,21,2,98,2,1,2,3,1,2,3,2,2,1,1,0,1,1,1,1,6,1,6,high,1,0,20321.8,1.1
PT,2007,18,1,98,2,6,1,1,2,1,4,1,1,0,0,1,0,1,0,0,2,1,1,high,0,0,20321.8,1.1
PT,2007,16,1,98,2,2,2,4,1,2,4,4,1,1,1,0,1,1,1,0,5,1,5,high,0,0,20321.8,1.1
PT,2007,23,1,18,17,1,1,4,1,2,1,4,2,0,1,0,1,0,1,1,4,1,6,medium,0,0,20321.8,1.1
PT,2007,27,2,21,3,NA,1,1,2,1,1,4,1,0,0,1,0,0,1,0,2,1,NA,high,1,0,20321.8,1.1
PT,2007,16,2,98,2,2,1,3,3,3,2,2,2,0,1,1,1,1,1,1,6,1,5,high,1,0,20321.8,1.1
PT,2007,15,1,98,2,6,1,2,1,1,2,1,1,0,1,0,0,1,0,0,2,1,1,high,0,0,20321.8,1.1
PT,2007,29,2,19,8,2,1,1,1,1,1,2,2,0,0,0,0,0,1,1,2,1,5,medium,1,0,20321.8,1.1
PT,2007,28,2,22,15,1,1,2,1,1,1,2,2,0,1,0,0,0,1,1,3,1,6,high,1,0,20321.8,1.1
PT,2007,25,2,14,17,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,20,1,16,15,1,1,2,1,2,2,2,1,0,1,0,1,1,1,0,4,1,6,medium,0,0,20321.8,1.1
PT,2007,24,2,98,2,1,NA,1,1,1,NA,1,1,NA,0,0,0,NA,0,0,NA,NA,6,high,1,0,20321.8,1.1
PT,2007,28,1,18,15,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,7,1,6,medium,0,0,20321.8,1.1
PT,2007,22,2,15,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,19,1,98,2,1,1,4,1,1,1,2,2,0,1,0,0,0,1,1,3,1,6,high,0,0,20321.8,1.1
PT,2007,25,2,98,2,1,1,4,2,2,4,1,1,0,1,1,1,1,0,0,4,1,6,high,1,0,20321.8,1.1
PT,2007,18,2,98,2,1,1,2,1,2,2,2,2,0,1,0,1,1,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,25,1,16,17,6,1,2,1,2,1,1,1,0,1,0,1,0,0,0,2,1,1,medium,0,0,20321.8,1.1
PT,2007,20,2,98,2,1,1,4,1,2,3,1,1,0,1,0,1,1,0,0,3,1,6,high,1,0,20321.8,1.1
PT,2007,23,2,98,2,1,1,4,1,1,2,1,2,0,1,0,0,1,0,1,3,1,6,high,1,0,20321.8,1.1
PT,2007,18,1,98,2,1,4,4,1,1,4,1,1,1,1,0,0,1,0,0,3,1,6,high,0,0,20321.8,1.1
PT,2007,23,2,19,3,3,1,2,1,2,2,1,1,0,1,0,1,1,0,0,3,1,4,medium,1,0,20321.8,1.1
PT,2007,28,2,18,3,1,1,4,1,1,4,2,2,0,1,0,0,1,1,1,4,1,6,medium,1,0,20321.8,1.1
PT,2007,21,1,16,3,1,1,4,1,1,1,3,1,0,1,0,0,0,1,0,2,1,6,medium,0,0,20321.8,1.1
PT,2007,18,2,14,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,1,0,20321.8,1.1
PT,2007,15,1,12,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,low,0,0,20321.8,1.1
PT,2007,23,2,21,15,6,1,4,1,3,4,3,2,0,1,0,1,1,1,1,5,1,1,high,1,0,20321.8,1.1
PT,2007,29,1,18,15,1,1,2,1,2,2,2,1,0,1,0,1,1,1,0,4,1,6,medium,0,0,20321.8,1.1
PT,2007,22,2,18,3,6,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,medium,1,0,20321.8,1.1
PT,2007,19,2,18,3,6,2,2,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,medium,1,0,20321.8,1.1
PT,2007,21,2,98,2,1,1,4,2,3,1,4,4,0,1,1,1,0,1,1,5,1,6,high,1,0,20321.8,1.1
PT,2007,19,1,16,3,2,1,1,1,1,2,2,2,0,0,0,0,1,1,1,3,1,5,medium,0,0,20321.8,1.1
PT,2007,26,1,19,12,1,1,1,1,1,2,1,1,0,0,0,0,1,0,0,1,1,6,medium,0,0,20321.8,1.1
PT,2007,18,2,16,3,2,1,3,1,2,1,1,1,0,1,0,1,0,0,0,2,1,5,medium,1,0,20321.8,1.1
PT,2007,17,1,98,2,1,1,4,1,2,1,2,2,0,1,0,1,0,1,1,4,1,6,high,0,0,20321.8,1.1
PT,2007,27,2,27,3,2,1,3,1,1,4,2,1,0,1,0,0,1,1,0,3,1,5,high,1,0,20321.8,1.1
PT,2007,19,1,98,2,3,1,4,2,3,1,1,1,0,1,1,1,0,0,0,3,1,4,high,0,0,20321.8,1.1
